id;nr.budynku;wydzial;skrot;nazwa;miejsce
45;25;Wydzial Nowych Technologii i Chemii;WTC;Wat Budynek nr. 25;https://maps.app.goo.gl/fhXLKceGm1C5o74Y7
46;21;Wydzial Nowych Technologii i Chemii;WTC;Wat Budynek nr. 21;https://maps.app.goo.gl/AUEMk7CyQy4Atryd6
47;17;Wydzial Nowych Technologii i Chemii;WTC;Wat Budynek nr. 17;https://maps.app.goo.gl/3mESmQ1WysJgkReeA
48;59;Wydzial Inzynierii Ladowej i Geodezji;WIG;Wat Budynek nr. 59;https://maps.app.goo.gl/mrGxk15cPKMmodCCA
49;58;Wydzial Inzynierii Ladowej i Geodezji;WIG;Wat Budynek nr. 58;https://maps.app.goo.gl/674fe9spJRFjhDDX9
50;57;Wydzial Inzynierii Ladowej i Geodezji;WIG;Wat Budynek nr. 57;https://maps.app.goo.gl/QHYi3ciMN7pQ5drE8
51;56;Wydzial Inzynierii Ladowej i Geodezji;WIG;Wat Budynek nr. 56;https://maps.app.goo.gl/VYU8cKCLwzyZHqj38
52;54;Wydzial Inzynierii Mechanicznej;WIM;Wat Budynek nr. 54;https://maps.app.goo.gl/6k6DCSVmQA64YWPX6
53;121;Wojskowe Centralne Biuro Konstrukcyjno Technologiczne;WCBKT;Wat Budynek nr. 121;https://maps.app.goo.gl/tUPrVXYaAvwHcEaq8
54;74;Wydzial Mechatroniki i Lotnictwa;WML;Wat Budynek nr. 74;https://maps.app.goo.gl/hqwFdfZJjpwM3M6PA
55;67;Wydzial Mechatroniki i Lotnictwa;WML;Wat Budynek nr. 67;https://maps.app.goo.gl/GzwhQBjQVvTwnCRy6
56;69;Wydzial Mechatroniki i Lotnictwa;WML;Wat Budynek nr. 69;https://maps.app.goo.gl/aKVvRhRHzBkUTKX47
57;13;N;N;Wat Budynek nr. 13;https://maps.app.goo.gl/4FQMmg62x4DmvHbE9
58;35;N;N;Wat Budynek nr. 35;https://maps.app.goo.gl/JFjQsJvTk5Qyvcou6
59;64;N;N;Wat Budynek nr. 64;https://maps.app.goo.gl/di3ZXBBY9Eu24Km36
60;40;N;N;Wat Budynek nr. 40;https://maps.app.goo.gl/b2KjPrMraERYNGFA6
61;39;N;N;Wat Budynek nr. 39;https://maps.app.goo.gl/SJUg7iXqnEMLXLUeA
62;131;N;N;Wat Budynek nr. 131;https://maps.app.goo.gl/uyirZ7Do7MDTszsu6
63;38;N;N;Wat Budynek nr. 38;https://maps.app.goo.gl/q7aeEmyWjnpgUUUV9
64;43;N;N;Wat Budynek nr. 43;https://maps.app.goo.gl/ryXT6wYeRGJNpN9PA
65;10;N;N;Wat Budynek nr. 10;https://maps.app.goo.gl/5wDenTVQFZLbn9RZ7
66;60;N;N;Wat Budynek nr. 60;https://maps.app.goo.gl/7wZX8Upuyrz1oNv78
67;50;N;N;Wat Budynek nr. 50;https://maps.app.goo.gl/PtAKNXS6SaQzjT8i8
68;52;N;N;Wat Budynek nr. 52;https://maps.app.goo.gl/fbqBqhTujmxP1wEh8 
69;125;N;N;Wat Budynek nr. 125;https://maps.app.goo.gl/3i72yRnJHNfGU3GQ7
70;126;N;N;Wat Budynek nr. 126;https://maps.app.goo.gl/JqHQfjokGiDczCEn6
71;127;N;N;Wat Budynek nr. 127;https://maps.app.goo.gl/FyPwR13Yyjfygtcm8
